OAT (Â°C),40,44,48,52,56,60,64,68
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.7,-0.8,-0.9,-1.0,-1.1,-1.2,-1.2,-1.3
34,-1.4,-1.6,-1.7,-1.9,-2.0,-2.2,-2.4,-2.5
36,-2.1,-2.4,-2.6,-2.8,-3.1,-3.3,-3.5,-3.8
38,-2.8,-3.2,-3.5,-3.8,-4.1,-4.4,-4.7,-5.0
40,-3.5,-3.9,-4.2,-4.6,-5.0,-5.4,-5.8,-6.2
42,-4.1,-4.6,-5.0,-5.5,-5.9,-6.4,-6.9,-7.3
44,-4.8,-5.3,-5.8,-6.3,-6.9,-7.4,-7.9,-8.5
46,-5.4,-6.0,-6.6,-7.2,-7.8,-8.4,-9.0,-9.6
48,-6.0,-6.7,-7.4,-8.0,-8.7,-9.4,-10.1,-10.7
50,-6.7,-7.4,-8.1,-8.9,-9.6,-10.4,-11.1,-11.9
