CORR'D FIELD LENGTH (M),-40°C (57°F),14°C (64°F),18°C (72°F),22°C (75°F),24°C (79°F),26°C (82°F),28°C (86°F),30°C (108°F),42°C (115°F),46°C (122°F),50°C
1450,61.8,56.2,55.7,55.2,55.0,54.8,54.6,53.9,49.9,48.6,47.4
1600,64.8,58.9,58.3,57.9,57.7,57.5,57.2,56.5,52.3,51.0,49.6
1800,68.6,62.4,61.8,61.3,61.1,60.8,60.6,59.9,55.4,53.9,52.5
2000,72.5,66.0,65.4,64.8,64.6,64.4,64.2,63.3,58.6,57.1,55.6
2200,72.5,68.9,68.2,67.6,67.4,67.2,66.9,66.1,61.1,59.5,57.9
2400,72.5,71.6,70.9,70.3,70.1,69.8,69.6,68.7,63.4,61.8,60.1
2600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.4,66.0,64.2,62.5
2800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.7,68.8,66.5,64.7
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.9,65.5,63.8,62.1
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,67.4,65.6,63.9
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,69.2,67.4,65.6
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.0,69.1,67.3
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.8,68.9
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.4,70.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.0
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT WT(1000KG),67.7,67.2,67.1,67.0,66.9,66.9,66.8,66.5,58.5,56.2,54.0